id;char;reading;translation;jlpt_level
1586;対応;たいおう;dealing with;1
1587;大家;たいか;rich family, distinguished family;1
1588;退化;たいか;degeneration, retrogression;1
1589;大概;たいがい;in general, mainly;1
1590;体格;たいかく;physique, constitution;1
1591;大金;たいきん;large amount of money;1
1592;待遇;たいぐう;treatment, reception;1
1593;対決;たいけつ;confrontation, showdown;1
1594;体験;たいけん;personal experience;1
1595;対抗;たいこう;opposition, antagonism;1
1596;退治;たいじ;extermination;1
1597;大衆;たいしゅう;general public;1
1598;対処;たいしょ;deal with, cope;1
1599;退職;たいしょく;retirement (from office);1
1600;題する;だいする;to title;1
1601;態勢;たいせい;attitude, conditions, tendency;1
1602;対談;たいだん;talk, dialogue;1
1603;大胆;だいたん;bold, daring, audacious;1
1604;対等;たいとう;equivalent;1
1605;台無し;だいなし;mess, spoiled, (come to) nothing;1
1606;滞納;たいのう;non-payment, default;1
1607;対比;たいひ;contrast, comparison;1
1608;タイピスト;タイピスト;typist;1
1609;大部;たいぶ;most (e.g., most part, greater, fairly, a good deal, much);1
1610;大便;だいべん;feces;1
1611;代弁;だいべん;speak for another;1
1612;待望;たいぼう;long-expected, waiting;1
1613;台本;だいほん;libretto, scenario;1
1614;タイマー;タイマー;timer;1
1615;怠慢;たいまん;negligence, carelessness;1
1616;タイミング;タイミング;timing;1
1617;タイム;タイム;time;1
1618;タイムリー;タイムリー;timely, run-batted-in (baseball), RBI;1
1619;対面;たいめん;interview, meeting;1
1620;代用;だいよう;substitution;1
1621;体力;たいりょく;physical strength;1
1622;タイル;タイル;tile;1
1623;対話;たいわ;conversation, dialogue;1
1624;耐える;たえる;to endure, to put up with;1
1625;堪える;たえる;to endure, to put up with;1
1626;絶える;たえる;to die out, to become extinct;1
1627;断える;たえる;to cease, to become extinct;1
1628;打開;だかい;solution, breakthrough;1
1629;焚火;たきび;(open) fire;1
1630;妥協;だきょう;compromise, giving in;1
1631;たくましい;たくましい;burly, strong, sturdy;1
1632;巧み;たくみ;skill, cleverness;1
1633;丈;たけ;length, height;1
1634;打撃;だげき;"blow, damage; batting (baseball)";1
1635;妥結;だけつ;agreement;1
1636;駄作;ださく;poor work;1
1637;足し算;たしざん;addition;1
1638;多数決;たすうけつ;majority rule;1
1639;助け;たすけ;assistance;1
1640;携わる;たずさわる;to engage, to involve;1
1641;漂う;ただよう;to drift about, to float, to hang in air;1
1642;立ち去る;たちさる;to leave, to depart;1
1643;立ち寄る;たちよる;to stop by, to drop in for a short visit;1
1644;抱っこ;だっこ;(child's) hug;1
1645;達者;たっしゃ;skillful, in good health;1
1646;脱出;だっしゅつ;escape;1
1647;脱する;だっする;to escape from, to get out;1
1648;達成;たっせい;achievement;1
1649;脱退;だったい;secession, withdrawal;1
1650;だったら;だったら;if it's the case;1
1651;立て替える;たてかえる;to pay in advance, to pay for another;1
1652;建前;たてまえ;"position; stance one takes in public; principle";1
1653;奉る;たてまつる;to offer, to do respectfully;1
1654;だと;だと;if it's the case;1
1655;他動詞;たどうし;transitive verb (direct object);1
1656;辿り着く;たどりつく;to reach, to make it somehow;1
1657;辿る;たどる;to follow (road, to pursue (course), to follow up;1
1658;束ねる;たばねる;to tie up in a bundle, to control;1
1659;だぶだぶ;だぶだぶ;loose, baggy;1
1660;他方;たほう;another side, on the other hand;1
1661;多忙;たぼう;busy;1
1662;給う;たまう;to receive, to grant;1
1663;魂;たましい;soul, spirit;1
1664;溜まり;たまり;collected things, gathering place, arrears;1
1665;賜る;たまわる;to grant, to bestow;1
1666;保つ;たもつ;to keep, to preserve, to sustain;1
1667;たやすい;たやすい;easy, simple, light;1
1668;多様;たよう;diversity, variety;1
1669;だるい;だるい;sluggish, feel heavy (tired), languid;1
1670;弛み;たるみ;slack, slackening;1
1671;弛む;たるむ;to slacken, to loosen, to relax;1
1672;垂れる;たれる;"to hang, to droop; to drip";1
1673;タレント;タレント;talent, star, personality;1
1674;タワー;タワー;tower;1
1675;単一;たんいつ;single, simple, sole;1
1676;短歌;たんか;31-syllable Japanese poem;1
1677;担架;たんか;stretcher, litter;1
1678;短気;たんき;quick temper;1
1679;団結;だんけつ;unity, union, solidarity;1
1680;探検;たんけん;exploration, expedition;1
1681;断言;だんげん;assertion, declaration, affirmation;1
1682;短縮;たんしゅく;shortening, abbreviation, reduction;1
1683;断然;だんぜん;firmly, absolutely, definitely;1
1684;炭素;たんそ;carbon (C);1
1685;短大;たんだい;junior college;1
1686;単調;たんちょう;monotony, monotone, dullness;1
1687;単独;たんどく;sole, single;1
1688;旦那;だんな;master (of house), husband (informal);1
1689;短波;たんぱ;short wave;1
1690;蛋白質;たんぱくしつ;protein;1
1691;ダンプ;ダンプ;dump truck;1
1692;断面;だんめん;cross section;1
1693;弾力;だんりょく;elasticity, flexibility;1
1694;治安;ちあん;public order, security;1
1695;チームワーク;チームワーク;teamwork;1
1696;チェンジ;チェンジ;change;1
1697;違える;ちがえる;to change;1
1698;畜産;ちくさん;animal husbandry;1
1699;畜生;ちくしょう;beast, brute, damn;1
1700;蓄積;ちくせき;accumulation, accumulate, store;1
1701;地形;ちけい;landform, geographical features, topography;1
1702;知性;ちせい;intelligence;1
1703;乳;ちち;milk, breast, loop;1
1704;縮まる;ちぢまる;to be shortened, to be contracted, to shrink;1
1705;秩序;ちつじょ;order, regularity;1
1706;窒息;ちっそく;suffocation;1
1707;知的;ちてき;intellectual;1
1708;着手;ちゃくしゅ;embarkation, launch;1
1709;着色;ちゃくしょく;coloring, coloring;1
1710;着席;ちゃくせき;sit down, seat;1
1711;着目;ちゃくもく;attention;1
1712;着陸;ちゃくりく;landing, touch down;1
1713;着工;ちゃっこう;start of (construction) work;1
1714;茶の間;ちゃのま;living room (Japanese style);1
1715;茶の湯;ちゃのゆ;tea ceremony;1
1716;ちやほや;ちやほや;pamper, make a fuss of, spoil;1
1717;チャンネル;チャンネル;a channel;1
1718;宙返り;ちゅうがえり;somersault, looping-the-loop;1
1719;中継;ちゅうけい;relay, hook-up;1
1720;忠告;ちゅうこく;advice, warning;1
1721;中傷;ちゅうしょう;slander, libel, defamation;1
1722;中枢;ちゅうすう;center, mainstay, nucleus;1
1723;抽選;ちゅうせん;lottery, raffle, drawing (of lots);1
1724;中断;ちゅうだん;interruption, suspension, break;1
1725;中毒;ちゅうどく;poisoning;1
1726;中腹;ちゅうふく;mountain side, halfway up;1
1727;中立;ちゅうりつ;neutrality;1
1728;中和;ちゅうわ;neutralize, counteract;1
1729;～著;～ちょ;written by ~;1
1730;腸;ちょう;bowels, intestines;1
1731;蝶;ちょう;butterfly;1
1732;超;ちょう;super-, ultra-, hyper-;1
1733;調印;ちょういん;signature, sign, sealing;1
1734;聴覚;ちょうかく;the sense of hearing;1
1735;長官;ちょうかん;chief, (government) secretary;1
1736;聴講;ちょうこう;lecture attendance, auditing;1
1737;徴収;ちょうしゅう;collection, levy;1
1738;聴診器;ちょうしんき;stethoscope;1
1739;調停;ちょうてい;arbitration, conciliation, mediation;1
1740;重複;ちょうふく;duplication, repetition, overlapping, redundancy, restoration;1
1741;長編;ちょうへん;long (e.g., novel, film);1
1742;重宝;ちょうほう;convenient, useful;1
1743;調理;ちょうり;cooking;1
1744;調和;ちょうわ;harmony;1
1745;ちょくちょく;ちょくちょく;often, frequently, now and then, occasionally;1
1746;直面;ちょくめん;confrontation;1
1747;著書;ちょしょ;literary work, book;1
1748;貯蓄;ちょちく;savings;1
1749;直感;ちょっかん;intuition, instinct;1
1750;著名;ちょめい;well-known, noted, celebrated;1
1751;ちらっと;ちらっと;at a glance, by accident;1
1752;塵;ちり;dust, dirt;1
1753;塵取り;ちりとり;dustpan;1
1754;賃金;ちんぎん;wages;1
1755;沈殿;ちんでん;precipitation, deposition, settlement;1
1756;沈没;ちんぼつ;sinking, foundering;1
1757;沈黙;ちんもく;silence, reticence;1
1758;陳列;ちんれつ;exhibition, display, show;1
1759;追及;ついきゅう;investigation, inquiry;1
1760;追跡;ついせき;pursuit;1
1761;追放;ついほう;exile, banishment;1
1762;費やす;ついやす;to spend, to devote, to waste;1
1763;墜落;ついらく;falling, crashing;1
1764;痛感;つうかん;feeling keenly, fully realizing;1
1765;通常;つうじょう;common, normal, usual;1
1766;痛切;つうせつ;keen, deep;1
1767;杖;つえ;cane;1
1768;使い道;つかいみち;use;1
1769;仕える;つかえる;to serve, to work for;1
1770;司る;つかさどる;to rule, to govern, to administer;1
1771;つかの間;つかのま;moment, brief time,;1
1772;月並;つきなみ;conventional, trite, common;1
1773;継目;つぎめ;joint, seam;1
1774;尽きる;つきる;to be used up, to be run out;1
1775;尽くす;つくす;"to exhaust, to run out; to devote, to serve";1
1776;つくづく;つくづく;completely, really;1
1777;作り;つくり;make up, structure, physique;1
1778;造り;つくり;make up, structure, physique;1
1779;繕う;つくろう;to mend, to repair;1
1780;付け加える;つけくわえる;to add one thing to another;1
1781;告げる;つげる;to inform;1
1782;つじつま (はなしの～);つじつま (はなしの～);coherence, consistency;1
1783;筒;つつ;pipe, tube;1
1784;突く;つつく;"to thrust, to strike, to attack; to poke, to nudge, to pick at";1
1785;突っ突く;つっつく;to prompt someone;1
1786;謹む;つつしむ;to be careful, to be chaste or discreet;1
1787;突っ張る;つっぱる;"to support, to become stiff; to thrust (ones opponent), to stick to (ones opinion), to insist on";1
1788;務まる;つとまる;be equal, be fit;1
1789;勤め先;つとめさき;place of work;1
1790;努めて;つとめて;make an effort!, work hard!;1
1791;津波;つなみ;tsunami, tidal wave;1
1792;つねる;つねる;to pinch;1
1793;角;つの;horn;1
1794;募る;つのる;to invite, to solicit help, participation, etc;1
1795;唾;つば;saliva, spit, sputum;1
1796;呟く;つぶやく;to mutter, to murmur;1
1797;つぶら;つぶら;round, rotund;1
1798;つぶる (めを～);つぶる (めを～);to close the eyes;1
1799;壷;つぼ;jar, pot, vase;1
1800;蕾;つぼみ;bud, flower bud;1
1801;連なる;つらなる;to extend, to stretch out, to stand in a row;1
1802;貫く;つらぬく;to go through;1
1803;連ねる;つらねる;to link, to join, to put together;1
1804;釣り鐘;つりがね;temple bell (for striking);1
1805;吊り革;つりかわ;strap;1
1806;手当;てあて;"allowance, compensation; treatment";1
1807;定義;ていぎ;definition;1
1808;提供;ていきょう;offer, program sponsoring;1
1809;提携;ていけい;cooperation, tie-up, joint business;1
1810;体裁;ていさい;decency, style, form, appearance;1
1811;提示;ていじ;presentation, exhibit, suggest, citation;1
1812;ティシュペーパー;ティシュペーパー;tissue;1
1813;定食;ていしょく;fixed-price lunch, set meal, dinner;1
1814;訂正;ていせい;correction, revision;1
1815;停滞;ていたい;stagnation, tie-up, congestion, retention;1
1816;邸宅;ていたく;mansion, residence;1
1817;定年;ていねん;retirement age;1
1818;堤防;ていぼう;bank, weir;1
1819;手遅れ;ておくれ;"being (too); belated treatment";1
1820;でかい;でかい;huge;1
1821;手掛かり;てがかり;hint, clue, key;1
1822;手掛ける;てがける;to handle, to manage, to work with;1
1823;手数;てかず;trouble, labor, handling;1
1824;手軽;てがる;easy, simple, cheap;1
1825;適応;てきおう;adaptation, accommodation, conformity;1
1826;適宜;てきぎ;suitability;1
1827;適性;てきせい;aptitude;1
1828;できもの;できもの;boil, rash;1
1829;手際;てぎわ;performance, skill, tact;1
1830;出くわす;でくわす;to happen to meet, to come across;1
1831;手順;てじゅん;process, procedure, protocol;1
1832;手錠;てじょう;handcuffs, manacles;1
1833;手数;てすう;trouble, labor, handling;1
1834;デコレーション;デコレーション;decoration;1
1835;手近;てぢか;near, handy, familiar;1
1836;てっきり;てっきり;surely, certainly, beyond doubt;1
1837;鉄鋼;てっこう;iron and steel;1
1838;デッサン;デッサン;rough sketch (FRE: dessin);1
1839;徹する;てっする;to devote oneself, to believe in;1
1840;てっぺん;てっぺん;top, summit, apex;1
1841;鉄棒;てつぼう;iron rod, crowbar, horizontal bar (gymnastics);1
1842;出直し;でなおし;adjustment, touch up;1
1843;掌;てのひら;the palm;1
1844;手配;てはい;arrangement, search (by police);1
1845;手筈;てはず;arrangement, plan, program;1
1846;手引;てびき;guidance, guide, introduction;1
1847;手本;てほん;model, pattern;1
1848;手回し;てまわし;preparations, arrangements;1
1849;手元;てもと;"(money) on hand or at home, one's purse; usual skill";1
1850;デモンストレーション;デモンストレーション;demonstration;1
1851;照り返す;てりかえす;to reflect, to throw back light;1
1852;テレックス;テレックス;telex, teletypewriter exchange;1
1853;手分け;てわけ;division of labor;1
1854;天;てん;heaven, sky;1
1855;田園;でんえん;country, rural districts;1
1856;天下;てんか;the world, whole country;1
1857;転回;てんかい;revolution, rotation;1
1858;連休;れんきゅう;consecutive holidays;1
1859;レンジ;レンジ;range, stove;1
1860;連日;れんじつ;every day;1
1861;連帯;れんたい;solidarity;1
1862;レンタカー;レンタカー;rented car;1
1863;連中;れんちゅう;colleagues, company, a lot;1
1864;レントゲン;レントゲン;X-ray (lit: Roentgen);1
1865;連邦;れんぽう;commonwealth, federation of states;1
1866;連盟;れんめい;league, union, alliance;1
1867;老衰;ろうすい;senility, senile decay;1
1868;朗読;ろうどく;reading aloud, recitation;1
1869;浪費;ろうひ;waste, extravagance;1
1870;労力;ろうりょく;labor, effort, trouble;1
1871;ロープウエイ;ロープウエイ;ropeway, aerial tram;1
1872;ロープ;ロープ;rope;1
1873;ろくな;ろくな;satisfactory, decent;1
1874;露骨;ろこつ;"blunt, outspoken; conspicuous; broad, suggestive";1
1875;ロマンチック;ロマンチック;romantic;1
1876;論議;ろんぎ;discussion;1
1877;論理;ろんり;logic;1
1878;惑星;わくせい;planet;1
1879;技;わざ;art, technique;1
1880;わざわざ;わざわざ;take the trouble (to do), doing something especially rather than incidentally;1
1881;煩わしい;わずらわしい;burdensome, troublesome, complicated;1
1882;渡り鳥;わたりどり;migratory bird, bird of passage;1
1883;ワット;ワット;watt;1
1884;詫び;わび;apology;1
1885;和文;わぶん;Japanese text, sentence in Japanese;1
1886;藁;わら;straw;1
1887;～割;～わり;~ percent;1
1888;割当;わりあて;allotment, allocation, quota;1
1889;割込む;わりこむ;to cut in, to disturb;1
1890;悪者;わるもの;bad fellow, rascal;1
1891;我;われ;me, oneself, self, ego;1
1892;捗る;はかどる;to make progress, to move right ahead (with the work), to advance;1
1893;はかない;はかない;short-lived, momentary, ephemeral;1
1894;ばかばかしい;ばかばかしい;stupid;1
1895;破棄;はき;revocation, annulment, breaking (e.g., treaty);1
1896;剥ぐ;はぐ;to tear off, to peel off, to rip off;1
1897;迫害;はくがい;persecution;1
1898;薄弱;はくじゃく;feebleness, weakness, weak;1
1899;白状;はくじょう;confession;1
1900;漠然;ばくぜん;obscure, vague, equivocal;1
1901;爆弾;ばくだん;bomb;1
1902;爆破;ばくは;blast, explosion, blow up;1
1903;暴露;ばくろ;disclosure, exposure, revelation;1
1904;励ます;はげます;to encourage, to cheer, to raise (the voice);1
1905;励む;はげむ;to be zealous, to make an effort;1
1906;剥げる;はげる;to come off, to be worn off, to fade, to discolor;1
1907;化ける;ばける;to disguise, to take the form of;1
1908;派遣;はけん;dispatch, send;1
1909;恥;はじ;shame, embarrassment;1
1910;弾く;はじく;to play (piano, guitar);1
1911;パジャマ;パジャマ;pajamas;1
1912;恥じらう;はじらう;to feel shy, to be bashful, to blush;1
1913;恥じる;はじる;to feel ashamed;1
1914;橋渡し;はしわたし;bridge building', mediation;1
1915;弾む;はずむ;to bounce, to be encouraged, to splurge on;1
1916;破損;はそん;damage;1
1917;叩く;はたく;to strike, to clap, to dust, to beat;1
1918;裸足;はだし;barefoot;1
1919;果たす;はたす;to accomplish, to fulfill, to carry out, to achieve;1
1920;蜂蜜;はちみつ;honey;1
1921;パチンコ;パチンコ;pachinko (Japanese pinball);1
1922;罰;ばつ;punishment, penalty;1
1923;発育;はついく;(physical) growth, development;1
1924;発芽;はつが;germination;1
1925;発掘;はっくつ;"excavation, exhumation; discovery (e.g., new talent)";1
1926;発言;はつげん;utterance, speech, proposal;1
1927;バッジ;バッジ;badge;1
1928;発生;はっせい;outbreak, spring forth, occurrence;1
1929;仕立てる;したてる;to tailor, to make, to prepare;1
1930;下取り;したどり;trade in, part exchange;1
1931;下火;したび;burning low, waning, declining;1
1932;実;じつ;fruit, good result;1
1933;実家;じっか;(one's parents') home;1
1934;失格;しっかく;disqualification, elimination, incapacity (legal);1
1935;質疑;しつぎ;question;1
1936;失脚;しっきゃく;losing one's standing, being overthrown, falling;1
1937;実業家;じつぎょうか;industrialist, businessman;1
1938;シック;シック;chic;1
1939;じっくり;じっくり;deliberately, carefully;1
1940;躾;しつけ;discipline, training;1
1941;躾ける;しつける;to discipline, to teach manners;1
1942;実践;じっせん;practice, put into practice;1
1943;質素;しっそ;simplicity, modesty, frugality;1
1944;実態;じったい;truth, fact;1
1945;失調;しっちょう;lack of harmony, imbalance;1
1946;嫉妬;しっと;jealousy;1
1947;実費;じっぴ;actual expense, cost price;1
1948;指摘;してき;pointing out, identification;1
1949;自転;じてん;rotation, spin;1
1950;助動詞;じょどうし;auxiliary verb;1
1951;淑やか;しとやか;graceful;1
1952;萎びる;しなびる;to shrivel, to fade;1
1953;シナリオ;シナリオ;scenario;1
1954;しなやか;しなやか;supple, flexible, elastic;1
1955;屎尿;しにょう;human waste;1
1956;地主;じぬし;landlord;1
1957;凌ぐ;しのぐ;"to outdo, to surpass; to endure";1
1958;芝;しば;lawn;1
1959;始発;しはつ;first train;1
1960;耳鼻科;じびか;otolaryngology;1
1961;私物;しぶつ;private property, personal effects;1
1962;しぶとい;しぶとい;tenacious, stubborn;1
1963;司法;しほう;administration of justice;1
1964;始末;しまつ;"disposal; cleaning up afterwards";1
1965;染みる;しみる;"to soak; pierce";1
1966;使命;しめい;mission, errand, message;1
1967;地元;じもと;local;1
1968;視野;しや;field of vision, outlook;1
1969;弱;じゃく;delicate, supple;1
1970;社交;しゃこう;social life;1
1971;ジャズ;ジャズ;jazz;1
1972;謝絶;しゃぜつ;refusal;1
1973;社宅;しゃたく;company owned house;1
1974;若干;じゃっかん;some, few, number of;1
1975;三味線;しゃみせん;three-stringed Japanese guitar;1
1976;斜面;しゃめん;slope, slanting surface, bevel;1
1977;砂利;じゃり;gravel, ballast, pebbles;1
1978;洒落る;しゃれる;"to joke, to play on words; stylish";1
1979;ジャンパー;ジャンパー;jacket, jumper;1
1980;ジャンプ;ジャンプ;jump;1
1981;ジャンボ;ジャンボ;jumbo;1
1982;ジャンル;ジャンル;genre;1
1983;主;しゅ;owner, master, god;1
1984;種;しゅ;"seed; variety";1
1985;私有;しゆう;private ownership;1
1986;～宗;～しゅう;sect;1
1987;収益;しゅうえき;earnings, proceeds, returns;1
1988;修学;しゅうがく;learning;1
1989;周期;しゅうき;cycle, period;1
1990;衆議院;しゅうぎいん;Lower House, House of Representatives;1
1991;就業;しゅうぎょう;employment, starting work;1
1992;従業員;じゅうぎょういん;employee, worker;1
1993;集計;しゅうけい;totalization, aggregate;1
1994;襲撃;しゅうげき;attack, charge, raid;1
1995;収支;しゅうし;income and expenditure;1
1996;終始;しゅうし;"from beginning to end; consistent(ly)";1
1997;修士;しゅうし;Masters degree program;1
1998;従事;じゅうじ;engaging, pursuing, following;1
1999;終日;しゅうじつ;all day;1
2000;充実;じゅうじつ;fullness, perfection;1
2001;収集;しゅうしゅう;gathering up, collection;1
2002;十字路;じゅうじろ;crossroads;1
2003;執着;しゅうじゃく;attachment, adhesion, tenacity;1
2004;執着;しゅうちゃく;attachment, adhesion, tenacity;1
2005;柔軟;じゅうなん;flexible;1
2006;重複;じゅうふく;duplication, repetition, overlapping;1
2007;収容;しゅうよう;"accommodation; seating; custody";1
2008;従来;じゅうらい;up to now, so far, traditional;1
2009;守衛;しゅえい;security guard, doorkeeper;1
2010;主演;しゅえん;starring, playing the leading part;1
2011;主観;しゅかん;subjectivity, subject, ego;1
2012;修行;しゅぎょう;pursuit of knowledge, training, ascetic practice;1
2013;塾;じゅく;after-school (cram) school;1
2014;祝賀;しゅくが;celebration, congratulations;1
2015;宿命;しゅくめい;fate, destiny, predestination;1
2016;手芸;しゅげい;handicrafts;1
2017;主権;しゅけん;sovereignty;1
2018;主催;しゅさい;organization, sponsorship, to host;1
2019;取材;しゅざい;coverage, collecting data;1
2020;趣旨;しゅし;object, meaning;1
2021;種々;しゅじゅ;variety;1
2022;主食;しゅしょく;staple food;1
2023;主人公;しゅじんこう;protagonist;1
2024;主体;しゅたい;subject, main constituent;1
2025;主題;しゅだい;subject, theme, motif;1
2026;出演;しゅつえん;leading performer, stage appearance;1
2027;出血;しゅっけつ;bleeding;1
2028;出現;しゅつげん;appearance, arrival;1
2029;出産;しゅっさん;childbirth;1
2030;出社;しゅっしゃ;come to work;1
2031;出生;しゅっしょう;birth;1
2032;出生;しゅっせい;birth;1
2033;微量;びりょう;minuscule amount, extremely small quantity;1
2034;昼飯;ひるめし;lunch (mid-day meal);1
2035;比例;ひれい;proportion;1
2036;疲労;ひろう;fatigue, weariness;1
2037;敏感;びんかん;sensibility, susceptibility, sensitive (to);1
2038;貧困;ひんこん;poverty, lack;1
2039;品質;ひんしつ;quality;1
2040;貧弱;ひんじゃく;poor, meager, insubstantial;1
2041;品種;ひんしゅ;breed, type, variety;1
2042;ヒント;ヒント;hint;1
2043;頻繁;ひんぱん;frequency;1
2044;貧乏;びんぼう;poverty, destitute, poor;1
2045;ファイト;ファイト;fight;1
2046;ファイル;ファイル;"file; portfolio";1
2047;ファン;ファン;fan;1
2048;不意;ふい;sudden, abrupt, unexpected;1
2049;フィルタ;フィルタ;filter;1
2050;封;ふう;seal;1
2051;封鎖;ふうさ;blockade, freezing (funds);1
2052;風車;ふうしゃ;windmill;1
2053;風習;ふうしゅう;custom;1
2054;風俗;ふうぞく;"manners, customs; sex industry";1
2055;ブーツ;ブーツ;boots;1
2056;風土;ふうど;natural features, climate;1
2057;ブーム;ブーム;boom;1
2058;フォーム;フォーム;"foam; form";1
2059;部下;ぶか;one's subordinate;1
2060;不可欠;ふかけつ;indispensable, essential;1
2061;ぶかぶか;ぶかぶか;too big, baggy;1
2062;不吉;ふきつ;ominous, sinister, bad luck, ill omen;1
2063;不況;ふきょう;recession, depression, slump;1
2064;布巾;ふきん;dish cloth;1
2065;複合;ふくごう;composite, complex;1
2066;福祉;ふくし;welfare, well-being;1
2067;覆面;ふくめん;mask, veil, disguise;1
2068;膨れる;ふくれる;to swell (out), to be inflated, to bulge;1
2069;不景気;ふけいき;business recession, hard times, depression;1
2070;耽る;ふける;to indulge in, to give oneself up to, to be absorbed in;1
2071;老ける;ふける;to age;1
2072;富豪;ふごう;wealthy person, millionaire;1
2073;布告;ふこく;edict, ordinance, proclamation;1
2074;ブザー;ブザー;buzzer;1
2075;負債;ふさい;debt, liabilities;1
2076;不在;ふざい;absence;1
2077;ふさわしい;ふさわしい;appropriate;1
2078;不順;ふじゅん;irregularity, unseasonableness;1
2079;負傷;ふしょう;injury, wound;1
2080;侮辱;ぶじょく;insult, contempt, slight;1
2081;不審;ふしん;suspicious, doubt, infidelity;1
2082;不振;ふしん;dullness, slump, stagnation;1
2083;武装;ぶそう;arms, armament, armed;1
2084;札;ふだ;"token, label; ticket, card; charm, talisman";1
2085;負担;ふたん;"burden; load";1
2086;不調;ふちょう;bad condition, disorder, slump;1
2087;復活;ふっかつ;revival (e.g., musical), restoration;1
2088;物議;ぶつぎ;public discussion (criticism);1
2089;復旧;ふっきゅう;restoration, restitution, rehabilitation;1
2090;復興;ふっこう;revival, renaissance, reconstruction;1
2091;物資;ぶっし;goods, materials;1
2092;仏像;ぶつぞう;Buddhist image (statue);1
2093;物体;ぶったい;object;1
2094;沸騰;ふっとう;boiling, seething;1
2095;不当;ふとう;injustice, impropriety, unfair;1
2096;不動産;ふどうさん;real estate;1
2097;無難;ぶなん;safety, security;1
2098;赴任;ふにん;(proceeding to) new appointment;1
2099;腐敗;ふはい;decay, depravity;1
2100;不評;ふひょう;bad reputation, disgrace, unpopularity;1
2101;不服;ふふく;dissatisfaction, discontent, disapproval;1
2102;普遍;ふへん;universality, ubiquity, omnipresence;1
2103;踏まえる;ふまえる;to be based on, to have origin in;1
2104;踏み込む;ふみこむ;to step into (someone else's territory, to break into, to raid;1
2105;不明;ふめい;unknown, ambiguous;1
2106;部門;ぶもん;class, group, category, department, field, branch;1
2107;扶養;ふよう;support, maintenance;1
2108;ふらふら;ふらふら;unsteady on one's feet, totter, dizzy;1
2109;ぶらぶら;ぶらぶら;dangle heavily, sway to and fro, stroll idly;1
2110;振り返る;ふりかえる;to turn head, to turn around, to look back;1
2111;振り出し;ふりだし;outset, starting point, drawing or issuing (draft);1
2112;不良;ふりょう;badness, delinquent, failure;1
2113;浮力;ふりょく;buoyancy;1
2114;武力;ぶりょく;armed might, military power, the sword, force;1
2115;ブル;ブル;bull;1
2116;震わせる;ふるわせる;to be shaking, to be trembling;1
2117;無礼;ぶれい;impolite, rude;1
2118;付録;ふろく;appendix, supplement;1
2119;フロント;フロント;front;1
2120;憤慨;ふんがい;indignation, resentment;1
2121;文化財;ぶんかざい;cultural assets, cultural property;1
2122;分業;ぶんぎょう;division of labor, specialization, assembly-line production;1
2123;文語;ぶんご;written language, literary language;1
2124;分散;ぶんさん;dispersion, decentralization, variance (statistics);1
2125;分子;ぶんし;numerator, molecule;1
2126;紛失;ふんしつ;losing something;1
2127;噴出;ふんしゅつ;spewing, gushing, spouting;1
2128;文書;ぶんしょ;document, writing;1
2129;紛争;ふんそう;dispute, trouble, strife;1
2130;ふんだん;ふんだん;plentiful, abundant, lavish;1
2131;分担;ぶんたん;apportionment, sharing;1
2132;奮闘;ふんとう;hard struggle, strenuous effort;1
2133;分配;ぶんぱい;division, sharing;1
2134;分母;ぶんぼ;denominator;1
2135;粉末;ふんまつ;fine powder;1
2136;分離;ぶんり;separation, detachment, segregation;1
2137;分裂;ぶんれつ;split, division, break up;1
2138;ペア;ペア;pair, pear;1
2139;兵器;へいき;arms, weapons, ordinance;1
2140;閉口;へいこう;shut mouth;1
2141;閉鎖;へいさ;closing, closure, shutdown;1
2142;兵士;へいし;soldier;1
2143;平常;へいじょう;normal, usual;1
2144;平方;へいほう;square (e.g., meter, square);1
2145;並列;へいれつ;arrangement, parallel, abreast;1
2146;ベース;ベース;base, bass;1
2147;辟易;へきえき;wince, shrink back, succumbing to, being frightened;1
2148;ぺこぺこ;ぺこぺこ;fawn, be very hungry;1
2149;ベスト;ベスト;"best; vest";1
2150;ベストセラー;ベストセラー;best-seller;1
2151;隔たる;へだたる;to be distant;1
2152;縁;へり;edge;1
2153;へりくだる;へりくだる;to deprecate oneself and praise the listener;1
2154;弁解;べんかい;explanation, justification, excuse;1
2155;変革;へんかく;change, reform(the) Reformation;1
2156;返還;へんかん;return, restoration;1
2157;便宜;べんぎ;convenience, accommodation;1
2158;偏見;へんけん;prejudice, narrow view;1
2159;弁護;べんご;defense, pleading, advocacy;1
2160;返済;へんさい;repayment;1
2161;弁償;べんしょう;compensation, reparation, reimbursement;1
2162;変遷;へんせん;change, transition, vicissitudes;1
2163;返答;へんとう;reply;1
2164;変動;へんどう;change, fluctuation;1
2165;弁論;べんろん;discussion, debate, argument;1
2166;穂;ほ;ear (of plant), head (of plant);1
2167;保育;ほいく;nursing, nurturing, rearing;1
2168;ボイコット;ボイコット;boycott;1
2169;ポイント;ポイント;point;1
2170;法案;ほうあん;bill (law);1
2171;防衛;ぼうえい;defense, protection, self-defense;1
2172;防火;ぼうか;fire prevention, fire fighting, fire proof;1
2173;崩壊;ほうかい;collapse, decay (physics), crumbling;1
2174;妨害;ぼうがい;disturbance, obstruction, interference;1
2175;法学;ほうがく;law, jurisprudence;1
2176;封建;ほうけん;feudalistic;1
2177;豊作;ほうさく;abundant harvest, bumper crop;1
2178;方策;ほうさく;plan, policy;1
2179;奉仕;ほうし;attendance, service;1
